"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Textiles","Tonnes","287","units","0","v1331406755","1.8.13","1322","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Vehicles","Tonnes","287","units","0","v1331406756","1.8.14","473017","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Other products","Tonnes","287","units","0","v1331406757","1.8.15","12383","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Total, all product categories","Tonnes","287","units","0","v1331406758","1.9.1","3370974","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Construction materials","Tonnes","287","units","0","v1331406759","1.9.2","145708","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Electrical and electronic equipment","Tonnes","287","units","0","v1331406760","1.9.3","339413","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Electronics","Tonnes","287","units","0","v1331406761","1.9.4","63095","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Major appliances","Tonnes","287","units","0","v1331406762","1.9.5","481","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406763","1.9.6","275836","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Packaging","Tonnes","287","units","0","v1331406764","1.9.7","1500412","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Bottles","Tonnes","287","units","0","v1331406765","1.9.8","110900","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Film","Tonnes","287","units","0","v1331406766","1.9.9","826546","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Non-bottle rigid","Tonnes","287","units","0","v1331406767","1.9.10","478896","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Other packaging products","Tonnes","287","units","0","v1331406768","1.9.11","84071","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Agriculture film","Tonnes","287","units","0","v1331406769","1.9.12","33154","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Textiles","Tonnes","287","units","0","v1331406770","1.9.13","260733","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Vehicles","Tonnes","287","units","0","v1331406771","1.9.14","0","","","","0"
"2012","Canada","2021A000011124","Disposed plastic waste and scrap not diverted for material recovery","Other products","Tonnes","287","units","0","v1331406772","1.9.15","1091553","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Total, all product categories","Tonnes","287","units","0","v1331406773","1.10.1","376754","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Construction materials","Tonnes","287","units","0","v1331406774","1.10.2","8733","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Electrical and electronic equipment","Tonnes","287","units","0","v1331406775","1.10.3","30199","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Electronics","Tonnes","287","units","0","v1331406776","1.10.4","29577","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Major appliances","Tonnes","287","units","0","v1331406777","1.10.5","0","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406778","1.10.6","622","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Packaging","Tonnes","287","units","0","v1331406779","1.10.7","316491","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Bottles","Tonnes","287","units","0","v1331406780","1.10.8","209777","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Film","Tonnes","287","units","0","v1331406781","1.10.9","44795","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Non-bottle rigid","Tonnes","287","units","0","v1331406782","1.10.10","60785","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Other packaging products","Tonnes","287","units","0","v1331406783","1.10.11","1134","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Agriculture film","Tonnes","287","units","0","v1331406784","1.10.12","4300","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Textiles","Tonnes","287","units","0","v1331406785","1.10.13","1186","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Vehicles","Tonnes","287","units","0","v1331406786","1.10.14","4730","","","","0"
"2012","Canada","2021A000011124","Sorted and baled plastic waste and scrap sent for further processing","Other products","Tonnes","287","units","0","v1331406787","1.10.15","11114","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Total, all product categories","Tonnes","287","units","0","v1331406788","1.11.1","533297","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Construction materials","Tonnes","287","units","0","v1331406789","1.11.2","998","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Electrical and electronic equipment","Tonnes","287","units","0","v1331406790","1.11.3","26498","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Electronics","Tonnes","287","units","0","v1331406791","1.11.4","2898","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Major appliances","Tonnes","287","units","0","v1331406792","1.11.5","23564","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406793","1.11.6","37","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Packaging","Tonnes","287","units","0","v1331406794","1.11.7","35166","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Bottles","Tonnes","287","units","0","v1331406795","1.11.8","22975","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Film","Tonnes","287","units","0","v1331406796","1.11.9","5117","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Non-bottle rigid","Tonnes","287","units","0","v1331406797","1.11.10","6944","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Other packaging products","Tonnes","287","units","0","v1331406798","1.11.11","130","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Agriculture film","Tonnes","287","units","0","v1331406799","1.11.12","944","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Textiles","Tonnes","287","units","0","v1331406800","1.11.13","136","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Vehicles","Tonnes","287","units","0","v1331406801","1.11.14","468287","","","","0"
"2012","Canada","2021A000011124","Residual plastic waste and scrap sent for disposal by primary processors","Other products","Tonnes","287","units","0","v1331406802","1.11.15","1270","","","","0"
